,Medicines,Common_Names
77,Cordyceps,"

Cordyceps sinensis (Berk.) Sacc.


Cordyceps sinensis


Ophiocordyceps sinensis

Aweto
Caterpillar Fungus
Caterpillar Mushrooms
Champignon Chenille
Chinese Caterpillar Fungus
Cs-4
Dong Chong Xia Cao
Dong Chong Zia Cao
Keeda Ghas
Keera Jhar
Orphiocordyceps Sinensis
Semitake
Tochukaso
Vegetable Caterpillar
Winter Worm, Summer Grass
XinGanBao
Yarshagumba
Yartsa Gunbu
Yatsa Gunbu
Zhiling"
78,Crampbark,"Cramp bark also is known as guelder rose, snowball, squaw bush, cranberry tree, highbush cranberry, and pimbina."
79,Cranberry,"

Vaccinium macrocarpon


Vaccinium oxycoccos

American Cranberry
Arandano Americano
Arandano Rtepador
Bearberry
Bog Cranberry
Cranberries
Cranberry Extract
Cranberry Fruit
Cranberry Fruit Juice
Cranberry Juice
Cranberry Juice Cocktail
Cranberry Juice Concentrate
Cranberry Powder
Cranberry Powdered Extract
Craneberry
European Cranberry
Grosse Moosbeere
Kranbeere
Large Cranberry
Mossberry
Small Cranberry
Trailing Swamp Cranberry
Tsuru-Kokemomo
Vaccinium"
80,Creatine,"
2-[carbamimidoyl(methyl)amino]acetic acid
Cr
Creatin
Creatina
Creatine Anhydrous
Creatine Citrate
Creatine Ethyl Ester
Creatine Ethyl Ester HCl
Creatine Gluconate
Creatine Hydrochloride
Creatine Malate
Creatine Monohydrate
Creatine Phosphate
Creatine Pyroglutamate
Creatine Pyruvate
CrP
Créatine
Créatine Anhydre
Créatine Citrate
Créatine Ethyl Ester
Créatine Ethyl Ester HCl
Créatine Kré Alkaline
Créatine Malate
Créatine Monohydrate
Créatine Monohydratée
Créatine Pyroglutamate
Créatine Pyruvate
Di-Creatine Malate
Dicreatine Malate
Dicréatine Malate
Glycine
Kre-Alkalyn Pyruvate
Kreatin
Malate de Tricréatine
Methyl Guanidine-Acetic Acid
Methylguanidine Acetic Acid
Methylguanidine-Acetic Acid
N-(Aminoiminomethyl)-N Methyl Glycine
N-(aminoiminométhyl)-N-Méthyl
N-Amidinosarcosine
Phosphocreatine
Phosphocréatine
Tricreatine HCA
Tricreatine Malate
Tricréatine HCA
Tricréatine Malate
Éthyle Ester de Créatine"
81,Cumin,Cumin is also known as cummin.
82,Damiana,"Damiana also is known as herba de la pastora, Mexican damiana, old woman's broom, and rosemary (not to be confused with the spice Rosmarinus officinalis)"
83,Dandelion,"

Leontodon taraxacum


Taraxacum dens-leonis


Taraxacum officinale


Taraxacum platycarpum


Taraxacum vulgares

Blowball
Cankerwort
Cochet
Common Dandelion
Dandelion Extract
Dandelions
Endive Sauvage
Lion's Teeth
Lion's Tooth
Pissenlit
Priest's Crown
Pu Gong Ying
Puffball
Swine Snout
Taraxacum
Wild Endive"
84,Danshen,"Danshen, dan shen, tanshen, tan-shen, Radix Salviae miltiorrhiza, Fu Fang Dan Shen
Trade Names
Fu Fang Dan Shen"
85,Deer Velvet,"Deer velvet also is known as velvet antler, Cornu cervi parvum, and lu rong (hairy young horn)."
86,Dehydroepiandrosterone,"
Androstenolone
Dehydroepiandrosterone Sulfate
DHEA
DHEA-S
GL701
Prasterone"
87,Devil's Claw,"

Harpagophytum procumbens


Harpagophytum zeyheri


Procumbens


Uncaria procumbens

Devil's Claw Root
Devils Claw
Garra del Diablo
Grapple Plant
Grapple Vine
Griffe du Diable
Harpagophyti Radix
Harpagophytum
Hook Plant
Racine de Griffe du Diable
Racine de Windhoek
Radix Harpagophyti
Teufelskrallenwurzel
Wood Spider
Xwate"
88,Dolomite,Dolomite also is known as dolomitic limestone.
89,Dong Quai,"

Angelica polymorpha


Angelica sinensis

Angelica China
Angelicae Gigantis Radix
Chinese Angelica
Dang Gui
Danggui
Danguia
Don Quai
Female Ginseng
Kinesisk Kvan
Phytoestrogens
Radix Angelicae Gigantis
Radix Angelicae Sinensis
Tan Kue Bai Zhi
Tang-Keui
Tang-Kuei
Tanggwi
Toki"
90,Dragon's Blood,"Dragon's blood also is known as sangre de grado, sangre de drago, and drago."
91,Echinacea,"

Echinacea angustifolia


Echinacea pallida


Echinacea purpurea

American Cone Flower
American Coneflower
Black Sampson
Black Susan
Black Susans
Brauneria Angustifolia
Brauneria Pallida
Brauneria Purpurea
Comb Flower
Combflower
Cone Flower
Coneflower
Echinacea Angustifolia
Echinacea angustifolia DC
Echinacea Pallida
Echinacea pallida (Nutt.) Britton
Echinacea Purpurea
Echinacea purpurea (L.) Moench
Echinacea Serotine
Echinacea Speciose
Echinaceawurzel
Equinácea
Fleur À Hérisson
Hedgehog
Helichroa Purpurea
Igelkopfwurzel
Indian Head
Kansas Snakeroot
Narrow-Leaved Purple Cone Flower
Narrow-Leaved Purple Coneflower
Pale Cone Flower
Pale Coneflower
Pale Purple Cone Flower
Pale Purple Coneflower
Purple Cone Flower
Purple Coneflower
Purpursonnenhutkraut
Purpursonnenhutwurzel
Racine d'echininacea
Radix Echinaceae
Red Sunflower
Rock-Up-Hat
Roter Sonnenhut
Rudbeckia Purpurea
Rudbeckie Pourpre
Schmallblaettrige Kegelblumenwurzel
Schmallblaettriger Sonnenhut
Scurvy Root
Snakeroot
Sonnenhutwurzel
Échinacée
Échinacée Angustifolia
Échinacée Pallida
Échinacée Pourpre
Échinacée Purpurea"
92,Elderberry,"

Canadensis


Sambucus nigra

Black Elder
Black Elderberry
Black-Berried Alder
Boor Tree
Boortree
Bountry
Common Elder
Elder
Elder Berry
Elder Flower
Elderberries
Elderberry Fruit
Ellanwood
Ellhorn
European Alder
European Black Elder
European Black Elderberry
European Elder
European Elder Fruit
European Elderberry
Sambucol
Sambucus
Sweet Elder"
93,Eleutherococcus,"

Acanthopanax senticosus


Eleutherococcus senticosus


Hedera senticosa

Acanthopanax Obovatus
Acanthopanax Obovatus Hoo
Adaptogen
Ci Wu Jia
Ciwujia Root
Ciwujia Root Extract
Devil's Bush
Devil's Shrub
Eleuthero
Eleuthero Extract
Eleuthero Ginseng
Eleuthero Root
Eleutherococci Radix
Ginseng Root
Ginseng, Siberian
Hedera Senticosa
Kan Jang
North Wu Jia Pi
Phytoestrogen
Prickly Eleutherococcus
Racine Russe
Russian Root
Shigoka
Siberian Eleuthero
Siberian Ginseng
Thorny Bearer of Free Berries
Touch-Me-Not
Untouchable
Ussuri
Ussurian Thorny Pepperbush
Wild Pepper
Wu Jia Pi
Wu-jia"
94,Emu Oil,Emu oil also is known as emu.
95,Ephedra,"

Ephedra distachya


Ephedra equisetina


Ephedra gerardiana


Ephedra intermedia


Ephedra shennungiana


Ephedra sinensis


Ephedra sinica


Ephedra vulgaris

Belcho
Cao Ma-Huang
Cao Mahuang
Chinese Ephedra
Chinese Joint Fir
Desert Herb
Efedra
Ephedra Sinisa
Ephedrine
Ephedrine Alkaloid
Herbal Ecstasy
Indian Joint Fir
Joint Fir
Ma Huang
Ma Huang Root
Mongolian Ephedra
Muzei Ma Huang
Pakistani Ephedra
Pinellia
Popotillo
Sea Grape
Shuang Sui Ma Huang
Teamster's Tea
Yellow Astringent
Yellow Horse
Zhong Mahuang"
96,Evening Primrose Oil,"

Oenothera biennis


Oenothera muricata


Oenothera purpurata


Oenothera rubricaulis


Oenothera suaveolens

Cis-Linoleic Acid
Common Evening Primrose
EPO
Evening Primrose
Evening Primrose Seed Oil
Fever Plant
King's Cureall
Night Willow Herb
Oil of the Evening Primrose
Primrose Oil
Scabish
Sun Drop"
97,Eyebright,"

E. rostkoviana


E. stricta


Euphrasia officinalis


Euphrasia rostkoviana


Euphrasia stricta

Euphraisia Eye Bright
Eye Bright
Luminet"
98,False Unicorn,"False unicorn is also known as helonias root, devil's bit, blazing star, drooping starwort, rattlesnake, and fairy-wand."
99,Fennel,"Common fennel, sweet fennel, bitter fennel, carosella, Florence fennel, finocchio, garden fennel, large fennel, wild fennel"
100,Fenugreek,"

Trigonella foenum-graecum


Trigonella foenumgraecum

Alholva
Bird's Foot
Bockshornklee
Bockshornsame
Egypt Fenugreek
Fenugreek Seed
Greek Clover
Greek Hay
Greek Hay Seed
Hu Lu Ba
Medhika
Methi
Methika
Trigonelle
Woo Lu Bar"
101,Feverfew,"

Chrysanthemum parthenium


Chrysanthemum praealtum


Leucanthemum parthenium


Matricaria eximia


Matricaria parthenium


Pyrethrum parthenium


Tanacetum parthenium

Altamisa
Bachelor's Buttons
Chamomile Grande
Chrysanthemematricaire
Chrysanthemum Pracaltum
European Feverfew
Feather-Fully
Featherfew
Featherfoil
Featherfully
Febrifuge Plant
Feddygen Fenyw
Flirtroot
Flirtwort Midsummer Daisy
Grande Chamomile
Midsummer Daisy
Mutterkraut
Nosebleed
Santa Maria
Vetter-Voo
Wild Chamomile
Wild Quinine"
102,Fish Oil,"
ADH
DHA
Docosahexaenoic Acid
Docosahexaenoic Acid (DHA)
E-EPA
Eicosapentaenoic Acid
Eicosapentaenoic Acid (EPA)
Eicosapentanoic Acid
EPA
Essential Fatty Acid
Ethyl Eicosapentaenoic Acid
Ethyl-Eicosapentaenoic Acid
Ethyl-EPA
Fish Oil Fatty Acid
Fish Oil Fatty Acids
Fish Oils
Krill Oil
LCPUFA's
LCPUFAs
Long Chain PUFA's
Long Chain PUFAs
Lovaza
Marine Oil
Marine Oil Fatty Acids
Marine Oils
N-3 Fatty Acid
N-3 Fatty Acids
Neuromins
Omega 3
Omega 3 Fatty Acids
Omega Fatty Acid
Omega-3
Omega-3 Fatty Acids
Omega-3 Polyunsaturated Fatty Acids
Oméga 3
Polyunsaturated Fatty Acid
PUFA
PUFAs
W-3 Fatty Acid
W-3 Fatty Acids"
103,Flax,"

Linum crepitans


Linum humile


Linum usitatissimum

Alasi
Brown Flaxseed
Brown-Seeded Flax
Common Flax
Flax Hull
Flax Lignans
Flax Meal
Flax Seed
Flaxseed
Flaxseed Oil
Golden Flax
Linseed
Linseed Flax
Linseed Oil
Lint Bells
Lintbells
Linum
Malsaga
Phytoestrogen
Ta Ma"
104,Fo Ti,"Fo-ti also is known as he shou wu, flowery knotweed, climbing knotweed, Chinese cornbind, and tuber fleeceflower. This plant should not be confused with the commercial product Fo-ti Tieng, which does not contain fo-ti."
105,Forskolin,"Forskolin is also known as pashanabhedi, Indian coleus, makandi, HL-362, NKH477, and mao hou qiao rui hua.
Trade Names
NKH477"
106,"Frankincense, Indian","

Boswellia sacra


Boswellia serrata

Arbre à Encens
Arbre à Oliban Indien
Boswella
Boswellia
Boswellie
Boswellin
Boswellin Serrata Resin
Dhup
Encens Indien
Frankincense, Indian
Franquincienso
Gajabhakshya
Indian Frankincense
Indian Frankincense Tree
Indian Olibanum
Oliban Indien
Resina Boswelliae
Ru Xiang
Salai Guggal
Sallaki Guggul
Shallaki"
107,Fruit Acids,"
2-hydroxypropionic acid
Acide 2-hydroxypropionique (Acide Lactique)
Acide Alpha-Hydroxyéthanoïque
Acide Citrique
Acide de Pomme
Acide Dihydroxysuccinique (Acide Tartrique)
Acide Glycolique
Acide Hydroxyacétique (Acide Glycolique)
Acide Hydroxycaprylique
Acide Hydroxypropionique
Acide Hydroxysuccinique
Acide Lactique
Acide Malique
Acides Alpha-Hydroxylés
Acidos Alfa-Hydroxi
AHA
Alpha Hydroxy Acids
Alpha-Hydroxyethanoic Acid
Apple Acid
Citric Acid
Dihydroxysuccinic Acid
Gluconolactone
Glycolic Acid
Hydroxyacetic Acid
Hydroxycaprylic Acid
Hydroxypropionic Acid
Hydroxysuccinic Acid
Lactic Acid
Malic Acid
Mixed Fruit Acids
Monohydroxysuccinic Acid
Tartaric Acid"
108,Fumitory,"Fumitory also is known as common fumitory, and earth smoke."
109,Gamma Linolenic Acid (GLA),Gamma linolenic acid also is known as GLA and gamolenic acid.
110,Gamma Oryzanol,"Gamma oryzanol is also known as rice bran oil, rice bran wax, rice bran protein, gamma oryzanol, and gammariza."
111,Garcinia (Hydroxycitric Acid),"

Garcinia cambogia


Garcinia quaesita


Mangostana cambogia

AHC
Assam Fruit
Brindal Berry
Brindall Berry
Brindle Berry
Brindleberry
Cambogia
Cambogia Binucao
Cambogia Gummi-Guta
Cambogin
Camboginol
Gambooge
Garcinia
Garcinia Affinis
Garcinia Gummi-Guta
Garcinia Sulcata
Garcinol
Gorikapuli
HCA
Hydroxycitrate
Hydroxycitric Acid
Kankusta
Kudam Puli
Malabar Tamarind
Mangostana Cambogia
Tamarinier de Malabar
Vadakkan Puli
Vrikshamla"
112,Garlic,"

Allium sativum

Aged Garlic Extract
Ail
Ajo
Allium
Camphor of the Poor
Clove Garlic
Da-Suan
Garlic Clove
Garlic Oil
La-Suan
Nectar of the Gods
Poor Man's Treacle
Poorman's Treacle
Rason
Rust Treacle
Rustic Treacle
Stinking Rose"
113,Gelsemium,"Gelsemium also is known as yellow or Carolina jasmine, wild, yellow or Carolina jessamine, woodbine, and evening trumpet flower."
114,Gentian,"Gentian also is known as stemless gentian, yellow gentian, bitter root, bitterwort, felwort, pale gentian, wild gentian, gall weed, gentiana, Radix Gentianae Lutea."
115,Ginger,"

Amomum zingiber


Zingiber capitatum


Zingiber officinale

African Ginger
Black Ginger
Cochin Ginger
Gan Jiang
Ginger Essential Oil
Ginger Root
Indian Ginger
Jamaica Ginger
Race Ginger
Zingiberis rhizoma"
116,Ginkgo,"
Bai Guo Ye
Baiguo
Fossil Tree
Ginkgo Biloba
Ginkgo Biloba Leaf
Ginkgo Extract
Ginkgo Folium
Ginkgo Leaf Extract
Ginkgo Seed
Ginkyo
Japanese Silver Apricot
Kew Tree
Maidenhair Tree
Yen Xing
Yinhsing
Yinhsing (Japanese Silver Apricot)"
117,Ginseng,"

Panax ginseng


Panax quinquefolius


Panax schinseng

American Ginseng
Anchi Ginseng
Asian Ginseng
Asiatic Ginseng
Baie Rouge
Canadian Ginseng
Chinese Ginseng
Chinese Red Ginseng
Ginseng a Cinq Folioles
Ginseng Occidental
Ginseng Oriental
Ginseng Root
Ginseng, Panax
Japanese Ginseng
Korean Ginseng
Korean Ginseng Root
Korean Panax
Korean Panax Ginseng
Korean Red Ginseng
Korean White Ginseng
North American Ginseng
Oriental Ginseng
Panax Quinquefolia
Panax Quinquefolium
Racine de Ginseng
Radix Ginseng
Red Berry
Red Chinese Ginseng
Red Ginseng
Red Kirin Ginseng
Red Korean Ginseng
Red Panax Ginseng
Ren Shen
Sang
Shang
Shi Yang Seng
Tibetan Ginseng
White Ginseng
White Panax Ginseng
Wisconsin Ginseng
Xi Yang Shen"
118,Glucomannan,"

Amorphophallus konjac


Amorphophallus rivieri

Glucomanano
Glucomannane
Gonyak
Konjac
Konjac Mannan
Konnyaku"
119,Glucosamine,"
(3R,4R,5S,6R)-3-Amino-6-(Hydroxymethyl) Oxane-2,4,5-Triol Hydrochloride
2-Amino-2-Deoxy-Beta-D-Glucopyranose
2-Amino-2-Deoxy-D-Glucose Sulfate
2-Amino-2-Deoxyglucose
2-Amino-2-Deoxyglucose Sulfate
Amino Monosaccharide
Chitosamine
Chitosamine Hydrochloride
Chlorhidrato de Glucosamina
Chlorhydrate de Glucosamine
D-Glucosamine
D-Glucosamine HCl
D-Glucosamine Sulfate
D-Glucosamine Sulphate
G6S
Glucosamine
Glucosamine Hydrochloride
Glucosamine KCl
Glucosamine Potassium Sulfate
Glucosamine Sulfate
Glucosamine Sulfate 2KCl
Glucosamine Sulfate-Potassium Chloride
Glucosamine Sulphate
Glucosamine Sulphate KCl
Glucosamine-6-Phosphate
GS
Mono-Sulfated Saccharide
Poly-(1->3)-N-Acetyl-2-Amino-2-Deoxy-3-O-Beta-D-Glucopyranurosyl-4-(or 6-) Sul
SG
Sulfated Monosaccharides
Sulfated Saccharides"
120,Glutamine,"
(S)-2,5-Diamino-5-Oxopentanoic Acid
Alanyl-L-Glutamine Dipeptide
Gin
GLN
Glutamate
Glutamic Acid
Glutamic Acid HCl
Glutamic Acid Hydrochloride
Glutaminate
Glutamine Ethyl Ester
Glutamine Ethyl Ester HCl
Glutamine Methyl Ester
Glutamine Peptides
L-Glutamic Acid
L-Glutamic Acid 5-Amide
L-Glutamic Acid HCl
L-Glutamic Acid Hydrochloride
L-Glutamine
Levoglutamide
Levoglutamine
N-Acetyl-L-Glutamine"
121,Glutathione,"
Gamma-Glutamylcysteinylglycine
Gamma-L-Glutamyl-L-Cysteinylglycine
Glutathion
GSH
L-Glutathion
L-Glutathione"
122,Golden Seal,"

Hydrastis canadensis

Chinese Goldenseal
Eye Balm
Eye Root
Eyebalm
Eyeroot
Fard Inolien
Framboise de Terre
Golden Root
Goldenroot
Goldenseal
Goldsiegel
Ground Raspberry
Hydraste
Hydraste du Canada
Hydrastis Canadensis
Indian Dye
Indian Plant
Indian Turmeric
Jaundice Root
Orange Root
Orangeroot
Puccoon
Racine Orange
Racine à la Jaunisse
Radix Hydrastis
Sceau D'or
Sello de Oro
Turmeric Root
Warnera
Wild Curcuma
Yellow Indian Paint
Yellow Paint
Yellow Puccoon
Yellow Root
Yellowroot"
123,Gotu Kola,"

Centella asiatica

Asiatic Pennywort
Brahmi
Hydrocotyle
Indian Pennywort
Indian Water Navelwort
Manduukaparani
Marsh Penny
Spadeleaf
Talepetrako
Thick-Leaved Pennywort
Tsubokusa
White Rot"
124,Grape Seed,"

Vitis vinifera

Activin
Black Grape Raisins
Calzin
Concord Grapes
European Wine Grapes
Flame Grapes
Flame Raisins
Flame Seedless Grapes
Flamer Grapes
Grampe Leaf Extract
Grape Fruie
Grape Fruit
Grape Fruit Skin
Grape Juice
Grape Leaf
Grape Leaf Extract
Grape Seed Extract
Grape Seed Oil
Grape Seeds
Grape Skin
Grape Skin Extract
Grapes
Grapeseed
Muscat
Muskat
Oligomeric Proanthocyanidins
Oligomeric Procyanidins
OPC
OPCs
PCO
PCOs
Petite Sirah
Proanthocyanidin
Procyanidolic Oligomers
Purple Grapes
Raisins
Red Globe Grapes
Red Grapes
Red Malaga
Red Vine Leaf
Table Grapes
Thompson Seedless Grapes
Uva
Vine Leaf Extract
White Grapes
Wine Grapes"
125,Grapefruit,"

Citrus maxima


Citrus paradisi

Agrume
Bioflavonoid Complex
Bioflavonoid Concentrate
Bioflavonoid Extract
Bioflavonoids
Citrus
Citrus Bioflavonoid Extract
Citrus Bioflavonoids
Citrus Extract
Citrus Flavonoids
Citrus Grandis Extract
Citrus Peel Extract
Citrus Seed Extract
Cold-Pressed Grapefruit Oil
CSE
Expressed Grapefruit Oil
Grapefruit Bioflavonoid Complex
Grapefruit Extract
Grapefruit Oil
Grapefruit Seed Extract
GSE
Pink Grapefruit
Rutaceae
Shaddock Oil
Standardized Extract of Grapefruit"
126,Green Tea,"

Camellia sinensis

Black Tea
Green Sencha Tea
Green Tea Extract
Green Tea Polyphenolic Fraction
GTP
GTPF
Japanese Tea
Kunecatechins
Oolong Tea
Poly E
Polyphenon E
PTV
Tea Extract
Tea Green
Veregen
Yame Green Tea
Yame Tea"
127,Guarana,"Guarana also is known as guarana paste or gum, Brazilian cocoa, and Zoom."
128,Guggul,"Guggul is also known as guggal, gum guggal, gum guggulu, and gugulipid."
129,Gymnema,"Gymnema is also known as meshashringi, gurmar, merasingi, and periploca of the woods."
130,Hawthorn,"

Crataegus cuneata


Crataegus kulingensis


Crataegus laevigata


Crataegus monogyna


Crataegus oxyacantha


Crataegus pinnatifida


Crataegus rhipidophylla


Mespilus laevigata

Aubepine
Cardiplant
Chinese Hawthorn
Crataegisan
Crataegus monogyna Jacquin
Crataegus oxyacantha L.
Crataegutt
English Hawthorn
Faros
Hagedorn
Haw
Hawthorne
Hedgethorn
Korodin
LI 132
LI132
May
Maybush
Maythorn
Oneseed Hawthorn
Whitehorn
Whitethorn
WS 1442
WS1442"
131,Hibiscus,"Hibiscus also is known as karkade, red tea, red sorrel, Jamaica sorrel, rosella, soborodo (Zobo drink), Karkadi, roselle, and sour tea.
Efficacy-safety rating:
ÒÒ...Ethno or other evidence of efficacy.
Safety rating:
●...Little exposure or very minor concerns.
         
What is Hibiscus?



Roselle is native to tropical Africa, but today grows throughout many tropical areas. This annual herb produces elegant red flowers. The flowers
(calyx and bract portions) are collected when slightly immature. The major producing countries are Jamaica and Mexico.
What is Hibiscus used for?
Traditional/Ethnobotanical uses
The hibiscus has had a lengthy history of use in Africa and neighboring tropical countries. Its fragrant flowers have been used in sachets and perfumes. In areas of northern Nigeria, this plant has been used to treat constipation. Fiber from H. sabdariffa has been used to fashion rope as a jute substitute. The fleshy red calyx is used in the preparation of jams, jellies, and cold and warm teas and drinks. The leaves have been used like spinach. The plant is used widely in Egypt for the treatment of cardiac and nerve diseases and has been described as a diuretic. In Iran, drinking sour tea for the treatment of hypertension is a popular practice. It has been used in the treatment of cancers. Research reveals little or no evidence of these medicinal uses of hibiscus. The mucilaginous leaves are used as a topical emollient in Africa. In Western countries, hibiscus flowers often are found as components of herbal tea mixtures. In Thailand, people consume roselle juice to quench thirst. Karkade seed products (ie, karkade defatted flour, protein concentrate, protein isolate) have been studied for their nutritional and functional value.
Hypertension
A randomized clinical trial evaluated the effect of sour tea available commercially in Iran on essential hypertension in otherwise healthy volunteers. A decrease in blood pressure was seen. However, after cessation of drinking the sour tea, a rise in blood pressure occurred. Although no adverse effects were seen in this study, the use of sour tea for treating hypertension requires further study.
Antibacterial/Vermifuge
Aqueous extracts of hibiscus appear to exert a slight antibacterial effect. In laboratory and animal studies, worms were killed by hibiscus extracts. Research reveals little or no clinical data regarding the use of hibiscus as an antibacterial or vermifuge (kill worms).
Chemopreventive effects
