,Medicines,Description
0,5-Hydroxytryptophan,
1,Acai,
2,Acerola,"


Acerola (previously M. punicifolia) is native to the West Indies. It also is found in northern South America, Central America, Texas, and Florida. This small shrub or tree has 5-petaled flowers ranging from pink to white in color. Acerola fruit is a bright red cherry-like fruit containing several small seeds. Mature fruits are soft and pleasant tasting. They contain 80 percent juice. The fruits deteriorate rapidly once removed from the tree."
3,Acetyl-L-Carnitine,
4,Acidophilus,
5,Aconite,"


These perennial plants grow to a height of 0.6 to 1.5 m and resemble delphiniums. Aconite has characteristic helmet-shaped blue or purple flowers. Occasionally, the flowers may be white, pink, peach, or yellow. More than 100 species of Aconitum are found throughout the temperate zones of the United States and Canada. These plants also are found throughout many parts of Asia, Africa, and Europe. They contain poisonous alkaloids such as aconitine."
6,Adrenal Extract,
7,African Mango,
8,Alfalfa,
9,Aloe,
10,Alpha-Lipoic Acid,
11,Angelica,"


Angelica is a widely cultivated, scented, northern European herb with fleshy, spindle-shaped roots, an erect stalk, and many greenish-yellow flowers arranged in an umbrella-like shape. The seeds are oblong and off-white. It is similar to and sometimes confused with the extremely toxic water hemlock, Cicuta maculata. There are several recognized varieties of A. archangelica, wild and cultivated. In the US, Angelica atropurpurea often is cultivated in place of the European species. The oil has been used medicinally to stimulate gastric secretion and treat gas, and to topically treat rheumatic and skin disorders. The Ayurvedic medical system suggests angelica for CNS effects. Angelica root, root powder, essential oil, and liquid extracts made from the herb are prepared and used traditionally."
12,Anise,"


Anise is an annual herb that grows 0.3 to 0.6 m and is cultivated widely throughout the world. The flowers are yellow, compound umbels and its leaves are feather shaped. The greenish-brown, ridged seeds are used for food or the drug. They are harvested when ripe in autumn. Aniseed has an anethole-like odor and a sweet ""licorice-like"" aromatic taste, which has led to the traditional use of anise oils in licorice candy."
13,Aortic Extract,
14,Arabinoxylane,
15,Arginine,
16,Arnica,
17,Artichoke,
18,Ashwagandha,
19,Astragalus,
20,Barberry,"


The barberry grows wild throughout Europe but has been naturalized to many regions of the eastern US. M. aquifolium is an evergreen shrub native to the northwestern US and Canada. Barberry has spiny, holly-like leaves and is widely grown as an ornamental. Its yellow flowers bloom, then develop into red to blue-black oblong berries."
21,Barley Grass,"


Barley is an annual grass. Barley grass is the leaf of the barley plant, as opposed to the grain. It is capable of growing in a wide range of climatic conditions. Barley grass has greater nutritional value if harvested at a young age."
22,Bayberry,"


The bayberry grows as a large evergreen shrub or small tree that is widely distributed throughout the southern and eastern US. It is known for its small, bluish-white berries. Plant parts used include the fruits, leaves, bark, and roots. Geographical location and differing methods of harvesting, processing, and storage result in varying constituents in the juice and extract."
23,Bee Pollen,
24,Beta Glucans,"


Natural sources of beta-glucans include fungal cell walls, seaweed, oats, and barley. Although collectively termed beta-glucans, variations in composition exist as a consequence of being derived from different natural sources, as well as batch variations due to differing growing conditions. Synthetic substances are being developed to overcome such variations, but until these become widely available, information for beta-glucan depends on the source; see individual monographs for maitake (grifola) seaweed, and oats."
25,Beta-Carotene,
26,Beta-Sitosterol,
27,Betaine Hydrochloride,
28,Betel Nut,"


The areca tree is a feathery palm that grows to approximately 1.5 m in height and is widely cultivated in tropical India, Bangladesh, Japan, Sri Lanka, south China, the East Indies, the Philippines, and parts of Africa. The tropical palm trees bear fruit all year. The nut may be used fresh, dried, or cured by boiling, baking, or roasting. The quid is a mixture of areca nut, tobacco, and lime wrapped in the leaf of the betel vine (Piper betel L. Family: Piperaceae)."
29,Betony,"


Betony is a square-stemmed perennial of the mint family. It is distributed widely throughout western and southern Europe. It has a rosette of hairy leaves with pink, white, or purple flowers that bloom from June to September. The plant reaches a height of 1 m. The aboveground parts are dried and used medicinally. It is native to Europe and often is cultivated as a garden ornamental."
30,Bilberry,
31,Biotin,
32,Bitter Melon,
33,Bitter Orange,
34,Black Cohosh,
35,Bladderwrack,
36,Bloodroot,"


Bloodroot is an early spring wildflower that grows in woodlands of the eastern United States and Canada. The stout rhizome oozes with a bright red latex when cut, giving the plant its common name. The root and rhizome are collected in the fall for medicinal use."
37,Boldo,"


Boldo is an evergreen shrub or small tree native to central Chile, Argentina, Ecuador, Bolivia, and Peru. The plant grows up to 6 m in height. The woody, bitter-smelling leaves are used medicinally. Small, green edible fruits are borne from small, pink-white flowers."
38,Boneset,"


Boneset is a member of the Asteraceae, or daisy, family. It is a ubiquitous plant found growing in swamps, marshes, and shores from Canada to Florida and west to Texas and Nebraska. The plant easily is recognized by its long, tapering leaves that join each other around a single stout stem, giving the impression of one long leaf pierced at the center by the stem. Hence its name perfolia, meaning ""through the leaves."""
39,Borage,"


Borage is an annual plant that is native to the Mediterranean region but has been widely naturalized in other areas. The stem and leaves are covered with coarse, prickly hairs. The bright blue flowers are star-shaped. The fresh plant has a salty flavor and a cucumber-like odor."
40,Boron,
41,Bovine Colostrum,
42,Brahmi,
43,Branched-Chain Amino Acids,
44,Brewer's Yeast,
45,Bromelain,
46,Buchu,"


Buchu is harvested from the dried leaves obtained from three species of Barosma. The species derive their common names from the shape of the aromatic leaf. Native to South Africa, the buchus grow as shrubs with leathery leaves that have oil-glandular dots on the underside. Odor and taste of the plants is described as spicy, resembling black currant, but also reminiscent of a mixture between rosemary and peppermint. Buchu oil sometimes is added as a component of black currant flavorings. Most commonly, B. betulina is used in commerce."
47,Bugleweed,"


Bugleweed is an herbaceous perennial mint that grows in wet habitats. The leaves are toothed, and the small white flowers surround the square stem in clusters. The whole herb is used medicinally."
48,Bupleurum,
49,Burdock,"


Burdock is native to Europe and northern Asia; it is naturalized in the US. The plant is a member of the Asteraceae, or daisy, family, with large oval leaves and broad pinkish flowers. Burdock has long, hard root pieces."
50,Butcher's Broom,"


Butcher's broom is a low-growing common evergreen shrub. It is widely distributed, from Iran to the Mediterranean and the southern United States. The plant develops edible shoots that are similar to asparagus in form. Butcher's broom has tough, erect, striated stems with false thorny leaves. The name of this plant should not be confused with broom (Cytisus scoparius) or Spanish broom (Spartium junceum)."
51,Butterbur,
52,Calanolide A,"


Calanolide A is a compound isolated from the latex of the tree, Calophyllum lanigerum (var. austrocoriaceum), that grows in the rain forest of the Malaysian state of Sarawak on the island of Borneo."
53,Calendula,
54,Caprylic Acid,
55,Caprylidene,
56,Capsicum Peppers,
57,Carnitine,
58,Cascara,
59,Cat's Claw,
60,Catnip,"


Catnip is an aromatic perennial herb native to central Europe and now naturalized throughout the northeastern US and Canada. This plant grows to approximately 1 m and has dark green, oval-toothed leaves. The medicinal components of the plant are its dried leaves and white flowering tops."
61,Centaury,"


Centaury is a small, annual herb, native to Europe and naturalized in the United States. It thrives in boggy meadows as well as in dry dunes. The root is fibrous and woody. The plant has pale green, oval leaves, a capsule fruit, and light pink to red flowers. The whole herb is used in medicine. Synonyms are Erythraea centaurium, C. umbellatum, C. minus. Centaurium consists of approximately 40 species (annuals or biennials)."
62,Chamomile,
63,Chaparral,"


The term ""chaparral"" refers to an area where plants adapt to droughts, sun exposure, and fire; however, Larrea tridentata does not usually grow in the chaparral. The chaparrals are a group of closely related wild shrubs found in the desert regions of southwestern United States and northern Mexico, as well as in the dry regions of South America, such as Argentina and Bolivia. Chaparral products found in health food stores usually consists of leaflets and twigs. The branched bush grows up to 2 to 6 m, with small, dark-green leaves that turn bright green after rain and have a resinous texture."
64,Chaste Tree,
65,Chickweed,"


Chickweed is a common plant, particularly throughout Europe and North America. This low-growing annual has a thin hairy stem with pointed oval leaves. It produces small, white, star-shaped flowers throughout much of the year."
66,Chicory,"


Chicory is a perennial plant with bright blue flowers native to Europe, India, and Egypt. It was introduced to the US in the late 19th century. It grows as a weed in temperate climates and is widely cultivated in northern Europe. The dried root is the primary part of the plant used."
67,Chinese Cucumber,"


The Chinese cucumber is a member of the gourd family, and the root, fruit, seeds, stems, and peel are used medicinally. While T. kirilowii is the plant most often referred to in Chinese traditional medicine, a number of related species are often used as false additives."
68,Chitosan,
69,Chlorophyll,
70,Chondroitin,
71,Chromium,
72,Cinnamon,
73,Clove,
74,Coleus,
75,Coltsfoot,"


Coltsfoot is an invasive, perennial plant growing up to 30 cm tall. Golden flowers that look similar to dandelions appear and die before leaves are produced, leading to the name Filius ante patrem (the son before the father). The seeds of the plant are soft, hair-like tufts often used by birds to build nests, and the leaves are broad and hoof-shaped, with hairs on upper and lower surfaces. The leaves and flowering buds are mainly used for medicinal purposes. Although related to Petasites (butterbur), activities of coltsfoot should be regarded separately."
76,Comfrey,"


Comfrey is a perennial herb found in moist grasslands in western Asia as well as in North America. It has bell-shaped red-violet or yellowish flowers. It may contain small amounts of toxic pyrrolizidine alkaloids."
77,Cordyceps,
78,Crampbark,"


Viburnum opulus is a large bush that often is grown ornamentally for its attractive white flowers. It is native to northern Asia and Europe. The American variety of V. opulus (also known as V. trilobatum) has edible red berries, while the European variety bears bitter fruit. The trunk and root bark are the commonly used drug products."
79,Cranberry,
80,Creatine,
81,Cumin,"


This small annual plant is native to the Mediterranean region, where it is cultivated extensively. The cumin seed widely is used in cooking. The dried seeds resemble those of caraway, but are straighter in form and have a coarser taste and odor. Major cumin seed producers include Egypt, Iran, India, and Morocco. The United States is among the largest producers of cumin oil. This spice should not be confused with sweet cumin, which is a common name for anise (Pimpinella anisum). Black cumin (Bunium persicum) has smaller and sweeter seeds than C. cyminum, but is not commercially important. Another black cumin (Nigella sativa) is not related to cumin."
82,Damiana,"


Damiana is a Mexican shrub also found throughout the southern US and many parts of South America. It has small, yellow-brown aromatic leaves. The red-brown twigs often are found mixed in the crude drug along with the spherical fruits."
83,Dandelion,
84,Danshen,"


Danshen is a perennial herb that grows on sunny hillsides and stream edges in China. Its violet-blue flowers bloom in the summer and the leaves are oval, with finely serrated edges. The fruit is an oval brown nut. Danshen's roots, from which many of the common names are derived, are a vivid scarlet red. Danshen is related to common sage, the culinary herb."
85,Deer Velvet,"


Deer antlers are the only mammalian bone structures to regenerate completely every year. Deer antler velvet is the epidermis covering the inner structure of the growing bone and cartilage, which develops into antlers. This tissue grows each spring on male North American elk and red deer, and should be removed by a veterinarian or certified farmer. The ethics, including use of local anesthetics, and procedures of harvesting antler velvet have been reported. After removal of the deer velvet, it is collected and then frozen or dried prior to its manufacture into various ""medicinal"" forms including powders, extracts, teas, capsules, and tablets. Each part of elk velvet contains varying compounds, but the deer antler velvet contains the largest concentrations of those found to be beneficial. (Antler also has been sold by the slice). Heating during processing may reduce or destroy the purported beneficial effects of velvet antler. Various preparation methods, including freeze-drying and non-heat-producing methods have been reported."
86,Dehydroepiandrosterone,
87,Devil's Claw,
88,Dolomite,"


Dolomite is a form of limestone, rich in approximately equal parts of magnesium carbonate and calcium carbonate. It is found widely throughout the world. Dolomitic limestone contains about five times as much magnesium and five eighths as much calcium as ordinary limestone. Dolomite also contains small amounts of chlorine, phosphorus, and potassium, in addition to more than 20 other trace elements.
What is it used for?
NutritionalDolomite long has been used as a source of calcium and magnesium for animal feeds. Dolomite now is available in a number of dosage forms including tablets and chewable wafers, to be taken as dietary supplements. In animal models, minerals from dolomite are well absorbed. Research reveals no animal or clinical data regarding the use of dolomite as a magnesium and calcium supplement.
What is the recommended dosage?
There are no recent clinical studies of dolomite to provide a basis for dosage recommendations.
Contraindications
Contraindications have not yet been identified.
Pregnancy/Lactation
Information regarding safety and efficacy in pregnancy and lactation is lacking.
Interactions
None well documented.
Side Effects
The use of pure dolomite supplements has not been associated with toxicity.
Toxicology
Products contaminated with heavy metals are considered hazardous.
References
1. Dolomite. Review of Natural Products. factsandcomparisons4.0 [online]. 2005. Available from Wolters Kluwer Health, Inc. Accessed April 16, 2007.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about Dolomite (multivitamin with minerals)

Side Effects
Dosage Information
Drug Interactions
Drug class: vitamin and mineral combinations

Consumer resources
Other brands: Vitafol, Prosteon, Advanced AM/PM, CalciFolic-D, ... +5 more
Professional resources

 Calcium-Folic Acid Plus D (FDA)

Related treatment guides

Vitamin/Mineral Supplementation and Deficiency"
89,Dong Quai,
90,Dragon's Blood,
91,Echinacea,
92,Elderberry,
93,Eleutherococcus,
94,Emu Oil,
95,Ephedra,
96,Evening Primrose Oil,
97,Eyebright,
98,False Unicorn,"


Chamaelirium luteum is a native lily of the eastern United States. It is considered a threatened species because of a loss of habitat and effects of collection from the wild for herbal use. The roots (called starwort or unicorn root) are used medicinally and are collected in autumn. The plant has been confused with the lilies Helonias bullata and Aletris farinosa (true unicorn root), because of several shared common names."
99,Fennel,"


Fennel is an herb native to southern Europe and Asia Minor. It is cultivated there, and in the US, Great Britain, and temperate areas of Eurasia. All parts of the plant are aromatic. When cultivated, fennel stalks grow to a height of about 1 m. Plants have finely divided leaves composed of many linear or awl-shaped segments. Grayish compound umbels bear small, yellowish flowers. The fruits or seeds are oblong, oval shaped, about 6 mm long, and greenish or yellowish brown in color with 5 prominent ridges. The seeds have a taste similar to anise. Foeniculum dulce (carosella) is grown for its stalks, while F. vulgare (finocchio) is grown for its bulbous stalk bases. A number of subspecies have been identified."
100,Fenugreek,
101,Feverfew,
102,Fish Oil,
103,Flax,
104,Fo Ti,"


Fo-ti is native to central and southern China and is distributed in Japan and Taiwan. It is a perennial climbing herb, which can grow to 30 feet in height. The plant has red stems, heart-shaped leaves and white or pink flowers. The roots of 3- to 4-year-old plants are dried in autumn. The stems and leaves are used also. Raw, wine- or steam-processed, or cured fo-ti is available in the United States."
105,Forskolin,"


C. barbatus is a perennial herb in a large genus of mints. The plant is native to subtropical and tropical regions of India and east Africa."
106,"Frankincense, Indian",
107,Fruit Acids,
108,Fumitory,"


Fumitory is an annual plant of somewhat variable characteristics, often resembling a bush, but also growing as a low, trailing shrub. It has gray, pointed leaves that, at a distance, give the plant a wispy appearance of smoke (hence the common name). The pink-purple flower blooms in spring. The flowering plant (aerial parts) traditionally has been used in herbal medicine. The climbing fumitory, or Allegheny vine, is a North American plant of another genus (Adlumia). Several genera of the family are native to South Africa."
109,Gamma Linolenic Acid (GLA),"


GLA is found in the seeds and oils of a range of plants including Onagraceae (evening primrose), Saxifragaceae (borage), and Rubaceae (blackcurrant). The richest source of GLA is borage (Borago officinalis).
What is Gamma Linolenic Acid (GLA) used for?
Overview
Fatty acids are the basic building blocks for all lipids. They consist of chains of carbon and hydrogen with an end acid group. Fatty acids vary in length and degree of saturation and generally are up to 26 carbons long. The polyunsaturated fatty acids contain more than 1 double bond. The double bonds are at carbon 3 (n-3) or 6 (n-6). GLA falls into the latter family, known as omega-6 fatty acids.
The actual location of the double bond significantly affects metabolism of the fatty acid, such that the structure and function of omega-3 derived eicosanoids differ from those derived from the omega-6 fatty acids (eg, arachidonic acid). For example, omega-3 derived eicosanoids tend to decrease blood clotting and inflammatory responses. This contrasts significantly with the arachidonic acid (omega-6) derived eicosanoids, which increase clotting and inflammatory responses.
Unsaturated fatty acids are essential components of cell membranes and can influence receptors, enzymes, ion channels, and signal transduction pathways. They can influence numerous inflammatory and immunological processes.
Traditional/Ethnobotanical uses
The evening primrose plant is native to North America and was introduced into Europe in the 17th century. Native Americans consumed the leaves, roots, and seedpods as food and prepared extracts of the oil for use as a painkiller and asthma treatment. Some of these early therapeutic effects are thought to be because of GLA, which is found in high quantities in the oil.
In the 1930s and 1940s, several investigators found dietary supplementation with essential fatty acids such as GLA to be of therapeutic value in atopic dermatitis (AD). The advent of topical glucocorticoids brought an end to this form of treatment. However, by the early 1980s, there was a return to using these agents because of the unwanted side effects of glucocorticoids, and they have regained scientific interest. Over the last 2 decades, numerous other indications have been proposed for GLA.
Rheumatoid arthritis
Clinical studies using GLA (evening primrose oil, borage seed oil, blackcurrant seed oil) suggest a potential relief of pain, morning stiffness, and joint tenderness in rheumatoid arthritis sufferers. Benefits appeared to be increased when dosages were greater than 1.4 g/day of GLA, and administered for at least 6 months.
Cardiovascular protection
The apparent low death rate from coronary heart disease among Eskimos has focused interest on the potential benefits of the n-3 polyunsaturated fatty acids. A small clinical study showed benefits in lowering total cholesterol and LDL, and raising HDL cholesterol. These effects suggest that GLA may contribute to cardiovascular protection. However, this is still an area of controversy.
Diabetes mellitus
GLA has been studied as for its possible benefits for diabetic neuropathy. Diabetic patients have abnormalities of essential fatty acid metabolism, and therefore require higher amounts of essential fatty acids. Studies have shown that the development of cataracts, retinopathy, and cardiovascular damage can all be slowed by the administration of large daily doses of essential fatty acid. Clinical studies have demonstrated consistent and progressive improvement of neuropathies when treated with GLA.
Atopic diseases/Asthma/Psoriasis
GLA has been shown in clinical studies to reduce itching, redness, and toughness of atopic skin. GLA also reduces the inflammation and overall severity of atopic dermatitis, while atopic disease in children often presents as bronchial asthma later in life. However, there have been no animal or clinical studies regarding the use of GLA for atopic bronchial asthma. Although psoriasis does not have an atopic component, the use of GLA has been investigated clinically with inconsistent results.
Other uses
GLA supplementation has been shown to increase lymphocytes, a key component in immune response. It also has been proposed that GLA may play important roles in cancer treatment. Small clinical studies have shown some improvement in immunologic status with estrogen-sensitive breast cancer and bladder cancer. Clinical studies have shown that GLA is effective in relieving PMS symptoms, including breast pain.
What is the dosage of Gamma Linolenic Acid (GLA)?
GLA has been studied clinically for a wide variety of conditions, including asthma, dermatitis, and arthritis. Oral doses in trials have ranged from as little as 0.5 to 3 g per day.
Is Gamma Linolenic Acid (GLA) safe?
Contraindications
Contraindications have not yet been identified.
Pregnancy/nursing
Not to be used by pregnant women and nursing mothers unless recommended by a physician.
Interactions
None well documented.
Side Effects
No serious adverse effects have been noted.
Toxicities
Research reveals little or no information regarding toxicology with the use of this product.
References

http://www.lapinskas.com/pubs/3547.html
Little C, Parsons T. Herbal therapy for treating rheumatoid arthritis. Cochrane Database Syst Rev. 2001;CD002948.
Surette ME, Koumenis IL, Edens MB, et al. Inhibition of leukotriene biosynthesis by a novel dietary fatty acid formulation in patients with atopic asthma: a randomized, placebo-controlled, parallel-group, prospective trial. Clin Ther. 2003;25:972-979.
Barabino S, Rolando M, Camicione P, et al. Systemic linoleic and gamma-linolenic acid therapy in dry eye syndrome with an inflammatory component. Cornea. 2003;;22:97-101.
Middleton SJ, Naylor S, Woolner J, Hunter JO. A double-blind, randomized, placebo-controlled trial of essential fatty acid supplementation in the maintenance of remission of ulcerative colitis. Aliment Pharmacol Ther. 2002;16:1131-1135.
Thies F, Nebe-von-Caron G, Powell JR, Yaqoob P, Newsholme EA, Calder PC. Dietary supplementation with γ-linolenic acid or fish oil decreases T lymphocyte proliferation in healthy older humans. J Nutr. 2001;131:1918-1927.
Andreassi M, Forleo P, Di Lorio A, Masci S, Abate G, Amerio P. Efficacy of γ-linolenic acid in the treatment of patients with atopic dermatitis. J Int Med Res. 1997;25:266-274.
Borrek S, Hildebrandt A, Forster J. Gamma-linolenic-acid-rich borage seed oil capsules in children with atopic dermatitis. A placebo-controlled double-blind study. [in German] Klin Padiatr. 1997;209:100-104.
Zurier RB, Rossetti RG, Jacobson EW, et al. gamma-Linolenic acid treatment of rheumatoid arthritis. A randomized, placebo-controlled trial. Arthritis Rheum. 1996;39:1808-1817.
Chenoy R, Hussain S, Tayob Y, O'brian PM, Moss MY, Morse PF. Effect of oral gamolenic acid from evening primrose oil on menopausal flushing. BMJ. 1994;308:501-503.
Nemecz G. Evening primrose. US Pharm. 1998;23:85-94.
Kerscher MJ, Korting HC. Treatment of atopic eczema with evening primrose oil: rationale and clinical results. Clin Investig. 1992;70:167-171.
Leichsenring M, Kochsiek U, Paul K. (n-6)-Fatty acids in plasma lipids of children with atopic bronchial asthma. Pediatr Allergy Immunol. 1995;6:209-212.
